ShortName,time_diff,F030101A,F030201A,F030301A,F030401A,F030501A,F030601A,F030701A,F030801A,F030901A,F031001A,F031101A,F031201A,F031301A,F031401A,F031501A,F031601A,F031701A,F031801A,F031901A,F032001A,F032101B,F032201B,F032301B,F032401B,F032501B,F032601B,F032701B,F032801B,F032901B,F033001B,F033101B,F033201B,F033301B,F033401B,F033501A,label
宝利沥青,3,0.68867,0.122945,0.391582,0.376461,0.259258,0.522959,0.31133,0.140688,0.041287,0.958713,0.495752,0.15008,4.055703,3.523773,0.851589,0.178722,0.821278,0.148411,0.987566,0.012434,3.041037,0.819657,0.969722,0.030278,0.00369,0.012484,0.280838,0.197827,1.005309,-0.005309,1.00145,-0.00145,1.005317,-0.005317,0.538079,0
深水海纳,3,0.358959,0.171496,0.103577,0.061635,0.022124,0.05272,0.641041,0.053793,0.190136,0.809864,0.419659,0.133429,12.328205,7.801429,0.580408,0.319294,0.680706,0.419592,0.986896,0.013104,2.895609,0.0,1.040714,-0.040714,0.005196,0.016963,0.125916,0.087343,0.980887,0.019113,1.0,0.0,0.980887,0.019113,0.501665,0
四川成渝,3,0.205399,0.068054,0.007827,0.469458,0.096426,0.230865,0.794601,0.015739,0.691499,0.308501,0.417673,0.271686,34.023218,26.537469,0.187133,0.101858,0.898142,0.812867,0.939169,0.060831,1.542292,0.027835,1.00118,-0.00118,0.01189,0.051566,0.25754,0.198154,0.923055,0.076945,0.99697,0.00303,0.923087,0.076913,0.416999,0
国药现代,3,0.576301,0.193411,0.138399,0.356673,0.205551,0.38471,0.423699,0.29383,0.026242,0.958797,0.534302,0.246971,2.089194,1.818402,0.796116,0.549072,0.450928,0.203884,0.8293,0.1707,5.283781,-0.017732,0.962739,0.037261,0.009017,0.01806,0.215739,0.108027,0.789608,0.210392,0.999162,0.000838,0.789785,0.210215,0.565152,0
西宁特钢,3,0.310027,0.006997,0.033388,-1.107807,-0.343449,-1.399646,0.689973,0.508245,0.037746,0.962254,0.245383,-0.105902,0.673912,0.482805,0.865971,0.304929,0.695071,0.134029,0.260945,0.739055,-11.939492,-0.585952,0.269222,0.730778,0.007079,0.012438,-1.545382,-0.665793,1.777033,-0.777033,1.0,0.0,1.777033,-0.777033,0.079235,0
围海股份,3,0.502781,0.088487,0.163125,0.147069,0.073944,0.144763,0.497219,0.031619,0.008697,0.925978,0.510792,0.078909,7.851799,16.154434,0.876596,0.408798,0.591202,0.123404,0.965871,0.034129,2.304042,0.241146,1.005612,-0.005612,0.004354,0.018204,0.295169,0.224564,0.855269,0.144731,1.0,0.0,0.855269,0.144731,0.549098,1
西藏旅游,3,0.319351,0.298478,0.003062,0.173669,0.055461,0.100355,0.680649,0.375073,0.239617,0.757663,0.552649,-0.105684,1.96258,1.473445,0.589894,0.494368,0.505632,0.410106,1.00458,-0.00458,0.312883,0.0,0.988959,0.011041,0.007405,0.007405,-0.003124,0.0,0.983326,0.016674,1.0,0.0,0.983326,0.016674,0.712826,1
吉林纸业,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248088,0.0,0.686281,0.313719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.326756,1
天发股份,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000346,-0.000346,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.479035,1
渤海集团,3,0.23637,0.0,0.20809,-0.652675,-0.154273,-0.311585,0.76363,0.501671,0.240204,0.759796,0.495122,-0.327714,1.196121,0.986947,0.773737,0.573398,0.426602,0.226263,0.95905,0.04095,-0.318786,0.0,0.999577,0.000423,0.015278,0.015278,-0.04758,0.0,0.940393,0.059607,0.0,0.0,0.0,0.0,0.668324,1
